Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version booster,Booster landing,Date,Time
1,"CCAFS,SLC-40",Dragon Spacecraft Qualification Unit,,LEO,SpaceX,Success,F9 v1.0[7]B0003.1[8],Failure[9][10](parachute),"4 June 2010,18:45",
2,"CCAFS,SLC-40",Dragondemo flight C1(Dragon C101),,LEO(ISS),NASA(COTS)NRO,Success[9],F9 v1.0[7]B0004.1[8],Failure[9][14](parachute),"8 December 2010,15:43[13]",
3,"CCAFS,SLC-40",Dragondemo flight C2+[18](Dragon C102),"525 kg (1,157 lb)[19]",LEO(ISS),NASA(COTS),Success[20],F9 v1.0[7]B0005.1[8],No attempt,"22 May 2012,07:44[17]",
4,"CCAFS,SLC-40",SpaceX CRS-1[22](Dragon C103),"4,700 kg (10,400 lb)",LEO(ISS),NASA(CRS),Success,F9 v1.0[7]B0006.1[8],No attempt,"8 October 2012,00:35[21]",
5,"CCAFS,SLC-40",SpaceX CRS-2[22](Dragon C104),"4,877 kg (10,752 lb)",LEO(ISS),NASA(CRS),Success,F9 v1.0[7]B0007.1[8],No attempt,"1 March 2013,15:10",
6,"VAFB,SLC-4E",CASSIOPE[22][31],"500 kg (1,100 lb)",Polar orbitLEO,MDA,Success[30],F9 v1.1[7]B1003[8],Uncontrolled(ocean)[d],"29 September 2013,16:00[30]",
7,"CCAFS,SLC-40",SES-8[22][35][36],"3,170 kg (6,990 lb)",GTO,SES,Success[37],F9 v1.1B1004,No attempt[38],"3 December 2013,22:41[34]",
8,"CCAFS,SLC-40",Thaicom 6[22],"3,325 kg (7,330 lb)",GTO,Thaicom,Success[42],F9 v1.1,No attempt[43],"6 January 2014,22:06[41]",
9,"Cape Canaveral,LC-40",SpaceX CRS-3[22](Dragon C105),"2,296 kg (5,062 lb)[45]",LEO(ISS),NASA(CRS),Success,F9 v1.1,Controlled(ocean)[d][46],"18 April 2014,19:25[21]",
10,"Cape Canaveral,LC-40",Orbcomm-OG2-1(6 satellites)[22],"1,316 kg (2,901 lb)",LEO,Orbcomm,Success[51],F9 v1.1,Controlled(ocean)[d][46],"14 July 2014,15:15",
11,"Cape Canaveral,LC-40",AsiaSat 8[22][54][55],"4,535 kg (9,998 lb)",GTO,AsiaSat,Success[56],F9 v1.1,No attempt[57],"5 August 2014,08:00",
12,"Cape Canaveral,LC-40",AsiaSat 6[22][54][58],"4,428 kg (9,762 lb)",GTO,AsiaSat,Success[59],F9 v1.1B1011[8],No attempt,"7 September 2014,05:00",
13,"Cape Canaveral,LC-40",SpaceX CRS-4[22](DragonC106.1),"2,216 kg (4,885 lb)[62]",LEO(ISS),NASA(CRS),Success[63],F9 v1.1B1010[8],Uncontrolled(ocean)[d][64],"21 September 2014,05:52[21]",
14,"Cape Canaveral,LC-40",SpaceX CRS-5[68](Dragon C107),"2,395 kg (5,280 lb)[69]",LEO(ISS),NASA(CRS),Success[70],F9 v1.1B1012[8],Failure(drone ship),"10 January 2015,09:47[67]",
15,"Cape Canaveral,LC-40",DSCOVR[68][73],"570 kg (1,260 lb)",HEO(Sun–Earth L1insertion),USAFNASANOAA,Success,F9 v1.1B1013[8],Controlled(ocean)[d],"11 February 2015,23:03[72]",
16,"Cape Canaveral,LC-40",ABS-3AEutelsat 115 West B[68],"4,159 kg (9,169 lb)",GTO,ABSEutelsat,Success,F9 v1.1B1014[8],No attempt[77],"2 March 2015,03:50[21][76]",
17,"Cape Canaveral,LC-40",SpaceX CRS-6[68](DragonC108.1),"1,898 kg (4,184 lb)[82]",LEO(ISS),NASA(CRS),Success,F9 v1.1B1015[8],Failure[83](drone ship),"14 April 2015,20:10[21]",
18,"Cape Canaveral,LC-40",TürkmenÄlem 52°E / MonacoSAT[68][87],"4,707 kg (10,377 lb)",GTO,Turkmenistan NationalSpace Agency[88],Success,F9 v1.1B1016[8],No attempt[89],"27 April 2015,23:03[86]",
19,"Cape Canaveral,LC-40",SpaceX CRS-7[68](Dragon C109),"1,952 kg (4,303 lb)[92]",LEO(ISS),NASA(CRS),Failure[93](in flight),F9 v1.1B1018[8],Precluded[94](drone ship),"28 June 2015,14:21[21][91]",
20,"Cape Canaveral,LC-40",Orbcomm-OG2-2(11 satellites)[22][97],"2,034 kg (4,484 lb)",LEO,Orbcomm,Success,F9 FTB1019.1[98],Success[99](ground pad),"22 December 2015,01:29[97]",
21,"VAFB,SLC-4E",Jason-3[68][104],"553 kg (1,219 lb)",LEO,NASA(LSP)NOAACNES,Success,F9 v1.1B1017[8],Failure(drone ship),"17 January 2016,18:42[21]",
22,"Cape Canaveral,LC-40",SES-9[68][109][110],"5,271 kg (11,621 lb)",GTO,SES,Success,F9 FTB1020.1[108],Failure(drone ship),"4 March 2016,23:35[21]",
23,"Cape Canaveral,LC-40",SpaceX CRS-8[68][110](Dragon C110.1),"3,136 kg (6,914 lb)[116]",LEO(ISS),NASA(CRS),Success[117],F9 FTB1021.1[115],Success[118](drone ship),"8 April 2016,20:43[21]",
24,"Cape Canaveral,LC-40",JCSAT-14[123],"4,696 kg (10,353 lb)[124]",GTO,SKY Perfect JSAT Group,Success,F9 FTB1022.1[122],Success(drone ship),"6 May 2016,05:21[21]",
25,"Cape Canaveral,LC-40",Thaicom 8[130][131],"3,100 kg (6,800 lb)[132]",GTO,Thaicom,Success,F9 FTB1023.1[129],Success[133](drone ship),"27 May 2016,21:39[128]",
26,"Cape Canaveral,LC-40",ABS-2AEutelsat 117 West B[68],"3,600 kg (7,900 lb)",GTO,ABSEutelsat,Success,F9 FTB1024.1[108],Failure[64](drone ship),"15 June 2016,14:29[21]",
27,"Cape Canaveral,LC-40",SpaceX CRS-9[68][141](Dragon C111.1),"2,257 kg (4,976 lb)[142]",LEO(ISS),NASA(CRS),Success,F9 FTB1025.1[129],Success(ground pad),"18 July 2016,04:45[21]",
28,"Cape Canaveral,LC-40",JCSAT-16,"4,600 kg (10,100 lb)",GTO,SKY Perfect JSAT Group,Success,F9 FTB1026.1[108],Success(drone ship),"14 August 2016,05:26",
N/A[e],"Cape Canaveral,LC-40",Amos-6[146],"5,500 kg (12,100 lb)",GTO,Spacecom,Precluded(failure pre-flight),F9 FTB1028.1[108],Precluded(drone ship),"3 September 2016,07:00(planned)[145]",
29,"VAFB,SLC-4E",Iridium NEXT-1(10 satellites)[152][153],"9,600 kg (21,200 lb)",PolarLEO,Iridium Communications,Success,F9 FTB1029.1[151],Success[154](drone ship),"14 January 2017,17:54",
30,"KSC,LC-39A",SpaceX CRS-10[141](Dragon C112.1),"2,490 kg (5,490 lb)[160]",LEO(ISS),NASA(CRS),Success,F9 FTB1031.1[8],Success(ground pad),"19 February 2017,14:39",
31,"KSC,LC-39A",EchoStar 23,"5,600 kg (12,300 lb)[164]",GTO,EchoStar,Success,F9 FTB1030.1[163],No attempt[165],"16 March 2017,06:00",
32,"KSC,LC-39A",SES-10[109][168],"5,300 kg (11,700 lb)[169]",GTO,SES,Success[170],F9 FT♺B1021.2[115],Success(drone ship),"30 March 2017,22:27",
33,"KSC,LC-39A",NROL-76[174],Classified,LEO[175],NRO,Success,F9 FTB1032.1[129],Success(ground pad),"1 May 2017,11:15",
34,"KSC,LC-39A",Inmarsat-5 F4[180],"6,070 kg (13,380 lb)[181]",GTO,Inmarsat,Success,F9 FTB1034.1[179],No attempt[165],"15 May 2017,23:21",
35,"KSC,LC-39A",SpaceX CRS-11[141](Dragon C106.2 ♺),"2,708 kg (5,970 lb)[186]",LEO(ISS),NASA(CRS),Success,F9 FTB1035.1[185],Success(ground pad),"3 June 2017,21:07",
36,"KSC,LC-39A",BulgariaSat-1[196],"3,669 kg (8,089 lb)[197]",GTO,Bulsatcom,Success,F9 FT♺B1029.2[195],Success(drone ship),"23 June 2017,19:10",
37,"VAFB,SLC-4E",Iridium NEXT-2(10 satellites),"9,600 kg (21,200 lb)",LEO,Iridium Communications,Success,F9 FTB1036.1[198],Success(drone ship),"25 June 2017,20:25",
38,"KSC,LC-39A",Intelsat 35e[201],"6,761 kg (14,905 lb)[202]",GTO,Intelsat,Success,F9 FTB1037.1[200],No attempt[165],"5 July 2017,23:38",
39,"KSC,LC-39A",SpaceX CRS-12[141](Dragon C113.1),"3,310 kg (7,300 lb)",LEO(ISS),NASA(CRS),Success,F9 B4B1039.1[207],Success(ground pad),"14 August 2017,16:31",
40,"VAFB,SLC-4E",Formosat-5[210][211],"475 kg (1,047 lb)[212]",SSO,NSPO,Success,F9 FTB1038.1[209],Success(drone ship),"24 August 2017,18:51",
41,"KSC,LC-39A",Boeing X-37BOTV-5,"4,990 kg (11,000 lb)[216]+ OTV payload",LEO,USAF,Success,F9 B4B1040.1[108],Success(ground pad),"7 September 2017,14:00[215]",
42,"VAFB,SLC-4E",Iridium NEXT-3(10 satellites)[152],"9,600 kg (21,200 lb)",PolarLEO,Iridium Communications,Success,F9 B4B1041.1[219],Success(drone ship),"9 October 2017,12:37",
43,"KSC,LC-39A",SES-11/EchoStar 105,"5,200 kg (11,500 lb)",GTO,SES S.A.EchoStar,Success,F9 FT♺B1031.2[220],Success(drone ship),"11 October 2017,22:53:00",
44,"KSC,LC-39A",Koreasat 5A[222],"3,500 kg (7,700 lb)",GTO,KT Corporation,Success,F9 B4B1042.1[219],Success(drone ship),"30 October 2017,19:34",
45,"Cape Canaveral,SLC-40",SpaceX CRS-13[141](Dragon C108.2 ♺),"2,205 kg (4,861 lb)",LEO(ISS),NASA(CRS),Success,F9 FT♺B1035.2[227],Success(ground pad),"15 December 2017,15:36[226]",
46,"VAFB,SLC-4E",Iridium NEXT-4(10 satellites)[152],"9,600 kg (21,200 lb)",PolarLEO,Iridium Communications,Success[230],F9 FT♺B1036.2[227],Controlled(ocean)[d][230],"23 December 2017,01:27[229]",
47,"CCAFS,SLC-40",Zuma[238][239][240],Classified,LEO,Northrop Grumman[f][238],Success[241],F9 B4B1043.1[238],Success(ground pad),"8 January 2018,01:00[237]",
48,"CCAFS,SLC-40",GovSat-1(SES-16)[246],"4,230 kg (9,330 lb)[247]",GTO,SES,Success[248],F9 FT♺B1032.2[245],Controlled(ocean)[d][248],"31 January 2018,21:25[244]",
FH 1,"KSC,LC-39A",Elon Musk's Tesla Roadster[254][255],"~1,250 kg (2,760 lb)[256]",Heliocentric0.99–1.67 AU[256](close toMars transfer orbit),SpaceX,Success[257],Falcon HeavyB1033.1(core)[129],Failure[257](drone ship),"6 February 2018,20:45[253]",
49,"VAFB,SLC-4E",Paz[269]Tintin A and Tintin B[270],"2,150 kg (4,740 lb)",SSO,HisdesatexactEarthSpaceX,Success[271],F9 FT♺B1038.2[268],No attempt[271],"22 February 2018,14:17[267]",
50,"CCAFS,SLC-40",Hispasat 30W-6[277]PODSat[278],"6,092 kg (13,431 lb)[279]",GTO,Hispasat[277]NovaWurks,Success[280],F9 B4B1044.1[108],No attempt[281],"6 March 2018,05:33[276]",
51,"VAFB,SLC-4E",Iridium NEXT-5(10 satellites)[152],"9,600 kg (21,200 lb)",PolarLEO,Iridium Communications,Success[286],F9 B4♺B1041.2[268],No attempt[287],"30 March 2018,14:14[285]",
52,"CCAFS,SLC-40",SpaceX CRS-14[141](Dragon C110.2 ♺),"2,647 kg (5,836 lb)[292]",LEO(ISS),NASA(CRS),Success[293],F9 B4♺B1039.2[292],No attempt[294],"2 April 2018,20:30[291]",
53,"CCAFS,SLC-40",Transiting Exoplanet Survey Satellite(TESS)[304],362 kg (798 lb)[305],HEOforP/2 orbit,NASA(LSP),Success[306],F9 B4B1045.1[268],Success[306](drone ship),"18 April 2018,22:51[303]",
54,"KSC,LC-39A",Bangabandhu-1[312][313],"3,600 kg (7,900 lb)[314]",GTO,Thales-Alenia/BTRC,Success[315],F9 B5[311]B1046.1[268],Success[315](drone ship),"11 May 2018,20:14[310]",
55,"VAFB,SLC-4E",Iridium NEXT-6(5 satellites)[152][155]GRACE-FO× 2[323][324],"6,460 kg (14,240 lb)[g]",PolarLEO,Iridium CommunicationsGFZ•NASA,Success[327],F9 B4♺B1043.2[322],No attempt[165],"22 May 2018,19:47[321]",
56,"CCAFS,SLC-40",SES-12[331],"5,384 kg (11,870 lb)[332]",GTO,SES,Success[333],F9 B4♺B1040.2[268],No attempt[165],"4 June 2018,04:45[330]",
57,"CCAFS,SLC-40",SpaceX CRS-15(Dragon C111.2 ♺),"2,697 kg (5,946 lb)[337]",LEO(ISS),NASA(CRS),Success[338],F9 B4♺B1045.2[336],No attempt[165],"29 June 2018,09:42[335]",
58,"CCAFS,SLC-40",Telstar 19V[341],"7,075 kg (15,598 lb)[342]",GTO[343],Telesat,Success[344],F9 B5B1047.1,Success[344](drone ship),"22 July 2018,05:50[340]",
59,"VAFB,SLC-4E",Iridium NEXT-7(10 satellites)[152],"9,600 kg (21,200 lb)",PolarLEO,Iridium Communications,Success[351],F9 B5[349]B1048.1[350],Success[352](drone ship),"25 July 2018,11:39[348]",
60,"CCAFS,SLC-40",Merah Putih(formerly Telkom 4)[355][356],"5,800 kg (12,800 lb)[357]",GTO,Telkom Indonesia,Success[358],F9 B5♺B1046.2[354],Success[358](drone ship),"7 August 2018,05:18[353]",
61,"CCAFS,SLC-40",Telstar 18V/Apstar-5C[341],"7,060 kg (15,560 lb)[361]",GTO[361],Telesat,Success[361],F9 B5B1049.1[268],Success[361](drone ship),"10 September 2018,04:45[361]",
62,"VAFB,SLC-4E",SAOCOM 1A[365][366],"3,000 kg (6,600 lb)[363]",SSO,CONAE,Success[363],F9 B5♺B1048.2[364],Success[363](ground pad),"8 October 2018,02:22[363]",
63,"KSC,LC-39A",Es'hail 2[368],"5,300 kg (11,700 lb)[369]",GTO,Es'hailSat,Success[370],F9 B5♺B1047.2[268],Success[370](drone ship),"15 November 2018,20:46[367]",
64,"VAFB,SLC-4E",SSO-A(SmallSat Express),"~4,000 kg (8,800 lb)[372]",SSO,Spaceflight Industries,Success[373],F9 B5♺B1046.3[268]SHERPA,Success[373](drone ship),"3 December 2018,18:34:05",
65,"CCAFS,SLC-40",SpaceX CRS-16(Dragon C112.2♺ ),"2,500 kg (5,500 lb)[382]",LEO(ISS),NASA(CRS),Success,F9 B5B1050[268],Failure[383](ground pad),"5 December 2018,18:16",
66,"CCAFS,SLC-40",GPS III-01(Vespucci),"4,400 kg (9,700 lb)[388]",MEO,USAF,Success[386],F9 B5B1054[387],No attempt[386],"23 December 2018,13:51[386]",
67,"VAFB,SLC-4E",Iridium NEXT-8(10 satellites)[152],"9,600 kg (21,200 lb)",PolarLEO,Iridium Communications,Success,F9 B5♺B1049.2[397],Success(drone ship),"11 January 2019,15:31[396]",
68,"CCAFS,SLC-40",Nusantara Satu(PSN-6)[400]BeresheetMoon lander[401]S5[402],"4,850 kg (10,690 lb)[403]",GTO,PSNSpaceIL/IAIAir Force Research,Success,F9 B5♺B1048.3[399],Success(drone ship),"22 February 2019,01:45[398]",
69,"KSC,LC-39A",Crew Dragon Demo-1[414](Dragon C201),"12,055 kg (26,577 lb)[415][h]",LEO(ISS),NASA(CCD),Success,F9 B5B1051.1[268][413],Success(drone ship),"2 March 2019,07:49[412]",
FH 2,"KSC,LC-39A",Arabsat-6A[422],"6,465 kg (14,253 lb)[423]",GTO,Arabsat,Success,Falcon HeavyB1055 core[421],Success[i](drone ship),"11 April 2019,22:35[421]",
70,"CCAFS,SLC-40",SpaceX CRS-17[141](Dragon C113.2 ♺),"2,495 kg (5,501 lb)[432]",LEO(ISS),NASA(CRS),Success,F9 B5B1056.1[420],Success(drone ship),"4 May 2019,06:48",
71,"CCAFS,SLC-40",Starlinkv0.9(60 satellites),"13,620 kg (30,030 lb)[5]",LEO,SpaceX,Success,F9 B5♺B1049.3[434],Success(drone ship),"24 May 2019,02:30",
72,"VAFB,SLC-4E",RADARSAT Constellation(3 satellites),"4,200 kg (9,300 lb)[443]",SSO,Canadian Space Agency(CSA),Success,F9 B5♺B1051.2[420],Success(ground pad),"12 June 2019,14:17",
FH 3,"KSC,LC-39A",Space Test ProgramFlight 2 (STP-2),"3,700 kg (8,200 lb)",LEO/MEO,USAF,Success,Falcon HeavyB1057 core[420],Failure(drone ship),"25 June 2019,06:30[449]",
73,CCAFSSLC-40,SpaceX CRS-18[141](Dragon C108.3 ♺),"2,268 kg (5,000 lb)[464]",LEO(ISS),NASA(CRS),Success,F9 B5♺B1056.2[465],Success(ground pad),"25 July 2019,22:01[464]",
74,"CCAFS,SLC-40",AMOS-17[473],"6,500 kg (14,300 lb)[474]",GTO,Spacecom,Success,F9 B5♺B1047.3[472],No attempt[474],"6 August 2019,23:23[471]",
75,"CCAFS,SLC-40",Starlink1 v1.0 (60 satellites),"15,600 kg (34,400 lb)[5]",LEO,SpaceX,Success,F9 B5♺B1048.4,Success(drone ship),"11 November 2019,14:56[479]",
76,"CCAFS,SLC-40",SpaceX CRS-19[483](Dragon C106.3 ♺),"2,617 kg (5,769 lb)",LEO(ISS),NASA(CRS),Success,F9 B5B1059.1[482],Success(drone ship),"5 December 2019,17:29[481]",
77,"CCAFS,SLC-40",JCSat-18/Kacific 1[487],"6,956 kg (15,335 lb)[486]",GTO,Sky Perfect JSATKacific 1,Success,F9 B5♺B1056.3[482],Success(drone ship),"17 December 2019,00:10[486]",
78,"CCAFS,SLC-40",Starlink2 v1.0 (60 satellites),"15,600 kg (34,400 lb)[5]",LEO,SpaceX,Success,F9 B5♺B1049.4,Success(drone ship),"7 January 2020,02:19:21[492]",
79,"KSC,LC-39A",Crew Dragon in-flight abort test[495](Dragon C205.1),"12,050 kg (26,570 lb)",Sub-orbital[496],NASA(CTS)[497],Success,F9 B5♺B1046.4,No attempt,"19 January 2020,15:30[494]",
80,"CCAFS,SLC-40",Starlink3 v1.0 (60 satellites),"15,600 kg (34,400 lb)[5]",LEO,SpaceX,Success,F9 B5♺B1051.3,Success(drone ship),"29 January 2020,14:07[501]",
81,"CCAFS,SLC-40",Starlink4 v1.0 (60 satellites),"15,600 kg (34,400 lb)[5]",LEO,SpaceX,Success,F9 B5♺B1056.4,Failure(drone ship),"17 February 2020,15:05[503]",
82,"CCAFS,SLC-40",SpaceX CRS-20(Dragon C112.3 ♺),"1,977 kg (4,359 lb)[507]",LEO(ISS),NASA(CRS),Success,F9 B5♺B1059.2,Success(ground pad),"7 March 2020,04:50[506]",
83,"KSC,LC-39A",Starlink5 v1.0 (60 satellites),"15,600 kg (34,400 lb)[5]",LEO,SpaceX,Success,F9 B5♺B1048.5,Failure(drone ship),"18 March 2020,12:16[510]",
84,"KSC,LC-39A",Starlink6 v1.0 (60 satellites),"15,600 kg (34,400 lb)[5]",LEO,SpaceX,Success,F9 B5♺B1051.4,Success(drone ship),"22 April 2020,19:30[514]",
85,"KSC,LC-39A",Crew Dragon Demo-2[414](Crew Dragon C206.1Endeavour),"12,530 kg (27,620 lb)[519]",LEO(ISS),NASA(CCDev),Success,F9 B5B1058.1[518],Success(drone ship),"30 May 2020,19:22[517]",
86,"CCAFS,SLC-40",Starlink7 v1.0 (60 satellites),"15,600 kg (34,400 lb)[5]",LEO,SpaceX,Success,F9 B5♺B1049.5,Success(drone ship),"4 June 2020,01:25[521]",
87,"CCAFS,SLC-40","Starlink8 v1.0 (58 satellites),[524][525]SkySats-16, -17, -18","15,410 kg (33,970 lb)[523]",LEO,SpaceXPlanet Labs,Success,F9 B5♺B1059.3,Success(drone ship),"13 June 2020,09:21[523]",
88,"CCAFS,SLC-40",GPS III-03(Matthew Henson),"4,311 kg (9,504 lb)[530]",MEO,U.S. Space Force[530],Success,F9 B5B1060.1,Success(drone ship),"30 June 2020,20:10:46[529]",
89,"CCAFS,SLC-40",ANASIS-II,"5,000–6,000 kg (11,000–13,000 lb)",GTO,Republic of Korea Army,Success,F9 B5♺B1058.2[544],Success(drone ship),"20 July 2020,21:30[543]",
90,"KSC,LC-39A","Starlink9 v1.0 (57 Satellites),[524]SXRS-1 (BlackSky Global 7 and 8)","14,932 kg (32,919 lb)",LEO,SpaceXSpaceflight Industries(BlackSky),Success,F9 B5♺B1051.5,Success(drone ship),"7 August 2020,05:12[549]",
91,"CCAFS,SLC-40","Starlink10 v1.0 (58 satellites)SkySat-19, -20, -21","~15,440 kg (34,040 lb)",LEO,SpaceXPlanet Labs,Success,F9 B5♺B1049.6[544],Success(drone ship),18 August 202014:31[553],
92,"CCAFS,SLC-40",SAOCOM 1B[556]GNOMES 1[556]Tyvak-0172[557],"3,130 kg (6,900 lb)[558]",SSO,CONAEPlanetIQTyvak,Success,F9 B5♺B1059.4,Success(ground pad),30 August 202023:18[555],
93,"KSC,LC-39A",Starlink11 v1.0 (60 satellites),"15,600 kg (34,400 lb)[5]",LEO,SpaceX,Success,F9 B5♺B1060.2[563],Success(drone ship),3 September 202012:46:14[562],
94,"KSC,LC-39A",Starlink12 v1.0 (60 satellites),"15,600 kg (34,400 lb)[5]",LEO,SpaceX,Success,F9 B5♺B1058.3[565],Success(drone ship),6 October 202011:29:34[564],
95,"KSC,LC-39A",Starlink13 v1.0 (60 satellites),"15,600 kg (34,400 lb)[5]",LEO,SpaceX,Success,F9 B5♺B1051.6[568],Success(drone ship),18 October 202012:25:57[567],
96,"CCAFS,SLC-40",Starlink14 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,F9 B5♺B1060.3,Success(drone ship),24 October 202015:31:34[570],
97,"CCAFS,SLC-40",GPS III-04(Sacagawea)[541][573],"4,311 kg (9,504 lb)",MEO,USSF,Success,F9 B5B1062.1,Success(drone ship),5 November 202023:24:23[572],
98,"KSC,LC-39A",Crew-1(Crew Dragon C207.1Resilience),"~12,500 kg (27,600 lb)",LEO(ISS),NASA(CCP)[497],Success,F9 B5B1061.1[582],Success(drone ship),16 November 202000:27[581],
